code,logical_bit,noise_type,noise_prob,syndrome,decoded_result,logical_error,fidelity,trial
Surface,0,depolarizing,0.9,"[0, 0]",No error,True,0.010240000000002546,9
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,0
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,1
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,2
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,3
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,4
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,5
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,6
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,7
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,8
Shor,1,depolarizing,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.00202800008029425,9
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,0
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,1
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,2
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,3
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,4
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,5
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,6
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,7
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,8
Steane,1,depolarizing,0.9,"[0, 0, 0]",No error,True,0.010560000000002725,9
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,0
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,1
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,2
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,3
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,4
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,5
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,6
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,7
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,8
Surface,1,depolarizing,0.9,"[0, 0]",No error,True,0.05184000000000945,9
